  PID USER       VSZ STAT COMMAND
    1 root      1976 S    /sbin/procd
    2 root         0 SW   [kthreadd]
    3 root         0 IW<  [rcu_gp]
    4 root         0 IW<  [rcu_par_gp]
    8 root         0 IW<  [mm_percpu_wq]
    9 root         0 SW   [ksoftirqd/0]
   10 root         0 IW   [rcu_preempt]
   11 root         0 SW   [migration/0]
   12 root         0 SW   [cpuhp/0]
   13 root         0 SW   [cpuhp/1]
   14 root         0 SW   [migration/1]
   15 root         0 SW   [ksoftirqd/1]
   17 root         0 IW<  [kworker/1:0H-ev]
   18 root         0 SW   [cpuhp/2]
   19 root         0 SW   [migration/2]
   20 root         0 SW   [ksoftirqd/2]
   22 root         0 IW<  [kworker/2:0H-ev]
   23 root         0 SW   [cpuhp/3]
   24 root         0 SW   [migration/3]
   25 root         0 SW   [ksoftirqd/3]
   26 root         0 IW   [kworker/3:0-eve]
   27 root         0 IW<  [kworker/3:0H-ev]
   28 root         0 IW<  [netns]
   29 root         0 SW   [rcu_tasks_kthre]
   30 root         0 IW   [kworker/0:1-eve]
   31 root         0 SW   [oom_reaper]
   32 root         0 IW<  [writeback]
   33 root         0 SW   [kcompactd0]
   46 root         0 IW<  [cryptd]
   74 root         0 IW<  [kblockd]
   75 root         0 IW<  [blkcg_punt_bio]
   76 root         0 IW<  [kworker/u9:0]
   77 root         0 SW   [watchdogd]
   78 root         0 IW   [kworker/1:1-eve]
  134 root         0 SW   [kswapd0]
  135 root         0 IW   [kworker/2:1-eve]
  137 root         0 IW<  [kthrotld]
  138 root         0 SW   [irq/93-smp2p]
  139 root         0 SW   [hwrng]
  141 root         0 IW<  [nvme-wq]
  142 root         0 IW<  [nvme-reset-wq]
  143 root         0 IW<  [nvme-delete-wq]
  144 root         0 IW<  [kworker/0:1H-ev]
  145 root         0 SW   [spi0]
  148 root         0 IW   [kworker/1:2-rcu]
  149 root         0 SW   [irq/94-q6v5 wdo]
  150 root         0 IW<  [ipv6_addrconf]
  151 root         0 IW<  [dsa_ordered]
  152 root         0 SW   [ubi_bgt0d]
  158 root         0 IW   [kworker/0:2-eve]
  159 root         0 SW   [irq/114-soc:gpi]
  160 root         0 SW   [irq/115-soc:gpi]
  161 root         0 IW<  [ata_sff]
  166 root         0 IW<  [uas]
  286 root         0 IW   [kworker/2:2-rcu]
  289 root         0 SW   [ubifs_bgt0_3]
  374 ubus      1396 S    /sbin/ubusd
  379 root       920 S    /sbin/askfirst /usr/libexec/login.sh
  443 root      6324 S    /sbin/rngd -f -r /dev/hwrng
  496 root      1076 S    /sbin/urngd
  500 root         0 IW<  [kworker/3:2H-kb]
  520 root         0 IW   [kworker/u8:1-wm]
  567 root      4056 S    /usr/bin/cnssdaemon -s
  595 root         0 IW   [kworker/u8:3-ec]
  604 root         0 SW   [kworker/u8:2+WC]
  722 root         0 Z    [modem_sim_statu]
  725 root      1460 S    /bin/ash -c sleep 40; /usr/bin/modem_sim_status_check.sh
  727 root      1460 S    /bin/ash -c sleep 50; /usr/bin/modem_sim_status_check.sh
  729 root      1452 S    sleep 40
  732 root      1452 S    sleep 50
  759 root      1380 S    /usr/sbin/dropbear -F -P /var/run/dropbear.main.pid -p 22 -K 300 -T 3 -W 262144 -2 9
  772 root      1460 R    ps w
  936 root      1200 S    /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  969 root      1200 S    /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  970 root      1200 S    /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  971 root      1200 S    /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
