--- TOP PROCESSES ---
Mem: 392740K used, 515736K free, 6060K shrd, 8208K buff, 48416K cached
CPU:   2% usr   0% sys   0% nic  97% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.02 0.00 2/175 4890
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
16149 14591 root     S    28020   3%   1   0% nginx: worker process
16150 14591 root     S    27796   3%   3   0% nginx: worker process
16148 14591 root     S    27256   3%   1   0% nginx: worker process
16154 14591 root     S    26788   3%   0   0% nginx: worker process
14591     1 root     S    20440   2%   0   0% nginx: master process /usr/sbin/nginx -c /etc/nginx/nginx.conf -g daemon off;
14450     1 root     S<   18180   2%   1   0% /usr/bin/gl_screen -c /tmp/gl_screen/config
 6982     1 root     S    12588   1%   1   0% hostapd -g /var/run/hostapd/global -B -P /var/run/hostapd-global.pid -f tmp/hostapd.txt
20307     1 root     S    12544   1%   0   0% /usr/bin/lua /usr/bin/gl_clients_update
 6980     1 root     S    11620   1%   3   0% wpa_supplicant -g /var/run/wpa_supplicantglobal -B -P /var/run/wpa_supplicant-global.pid
17003     1 root     S     8248   1%   1   0% /usr/bin/sms_manager
 2587     1 root     S     7932   1%   3   0% /usr/sbin/uhttpd -f -h /www -r GL-BE3600 -x /cgi-bin -u /ubus -t 60 -T 30 -k 20 -A 1 -n 3 -N 100 -p 0.0.0.0:8080 -p [::]:8080 -C /etc/uhttpd.crt -K /etc/uhttpd.key -s 0.0.0.0:8443 -s [::]:8443
  443     1 root     S     6324   1%   2   0% /sbin/rngd -f -r /dev/hwrng
 1006     1 root     S     5892   1%   2   0% eco /usr/sbin/gl-ngx-session
 4056     1 root     S     5024   1%   1   0% /usr/bin/eco /usr/sbin/gl-repeater
21153 20856 dnsmasq  S     4872   1%   1   0% /usr/sbin/dnsmasq -C /var/etc/dnsmasq.conf.cfg01411c -k -x /var/run/dnsmasq/dnsmasq.cfg01411c.pid
21170 21153 root     S     4860   1%   1   0% /usr/sbin/dnsmasq -C /var/etc/dnsmasq.conf.cfg01411c -k -x /var/run/dnsmasq/dnsmasq.cfg01411c.pid
  567     1 root     S     4056   0%   3   0% /usr/bin/cnssdaemon -s
 3442     1 root     S     3924   0%   0   0% /sbin/rpcd -s /var/run/ubus/ubus.sock -t 30
20147     1 root     S     3652   0%   2   0% /usr/bin/eco /usr/bin/alarm_event_report
 3980     1 root     S     2984   0%   2   0% /usr/bin/lua /usr/sbin/qca-wifi-configurator
20856     1 root     S     2776   0%   0   0% {dnsmasq} /sbin/ujail -t 5 -n dnsmasq -u -l -r /bin/ubus -r /etc/TZ -r /etc/dnsmasq.conf -r /etc/ethers -r /etc/group -r /etc/hosts -r /etc/passwd -w /tmp/dhcp.leases -r /tmp/dnsmasq.d -r /tmp/hosts -r /tmp/resolv.conf.d -r /usr/bin/jshn -r /usr/lib/dnsmasq/dhcp-script.sh -r /usr/share/dnsmasq/dhcpbogushostname.conf -r /usr/share/dnsmasq/rfc6761.conf -r /usr/share/dnsmasq/trust-anchors.conf -r /us
19768     1 root     S     2776   0%   0   0% {ntpd} /sbin/ujail -t 5 -n ntpd -U ntp -G ntp -C /etc/capabilities/ntpd.json -c -u -r /bin/ubus -r /usr/bin/env -r /usr/bin/jshn -r /usr/sbin/ntpd-hotplug -r /usr/share/libubox/jshn.sh -- /usr/sbin/ntpd -n -N -S /usr/sbin/ntpd-hotplug -p 0.openwrt.pool.ntp.org -p 1.openwrt.pool.ntp.org -p 2.openwrt.pool.ntp.org -p 3.openwrt.pool.ntp.org
12749     1 nobody   S     2504   0%   1   0% avahi-daemon: running [GL-BE3600.local]
 6362     1 root     S     2180   0%   0   0% /sbin/netifd
    1     0 root     S     1984   0%   0   0% /sbin/procd
12451     1 root     S     1976   0%   0   0% /usr/bin/dbus-daemon --system --nofork
 1079     1 root     S     1852   0%   0   0% /usr/sbin/acfg_tool -e -s -t 192.168.1.2
 4890  4889 root     R     1492   0%   3   0% top -b -n 1
11876     1 root     S     1460   0%   1   0% /usr/sbin/crond -f -c /tmp/gl_crontabs -l 10
 4834 11876 root     S     1460   0%   1   0% /bin/ash -c sleep 40; /usr/bin/modem_sim_status_check.sh
 4889  4888 root     S     1460   0%   2   0% ash -c  echo "--- TOP PROCESSES ---" top -b -n 1 echo "--- STORAGE DUMP ---" du -k -d 3 /overlay echo "--- PACKAGE SIZES ---" grep -H "Size:" /usr/lib/opkg/info/*.control 
19776 19768 ntp      S     1452   0%   3   0% /usr/sbin/ntpd -n -N -S /usr/sbin/ntpd-hotplug -p 0.openwrt.pool.ntp.org -p 1.openwrt.pool.ntp.org -p 2.openwrt.pool.ntp.org -p 3.openwrt.pool.ntp.org
 4838  4834 root     S     1452   0%   3   0% sleep 40
 7980  6362 root     S     1452   0%   2   0% udhcpc -p /var/run/udhcpc-eth0.pid -s /lib/netifd/dhcp.script -f -t 0 -i eth0 -x hostname:GL-BE3600 -C -R -O 212
 3325     1 logd     S     1408   0%   1   0% /sbin/logd -S 128
  374     1 ubus     S     1404   0%   0   0% /sbin/ubusd
 4888  5137 root     S     1380   0%   0   0% /usr/sbin/dropbear -F -P /var/run/dropbear.main.pid -p 22 -K 300 -T 3 -W 262144 -2 9
 5137     1 root     S     1356   0%   3   0% /usr/sbin/dropbear -F -P /var/run/dropbear.main.pid -p 22 -K 300 -T 3 -W 262144
19806     1 root     S<    1260   0%   0   0% /usr/sbin/thermald
  936     1 root     S     1200   0%   0   0% /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  972   936 root     S     1200   0%   0   0% /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  969   936 root     S     1200   0%   1   0% /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  971   936 root     S     1200   0%   0   0% /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  970   936 root     S     1200   0%   1   0% /usr/bin/fcgiwrap -c 4 -s unix:/var/run/fcgiwrap.socket
  496     1 root     S     1076   0%   0   0% /sbin/urngd
 6082     1 root     S     1072   0%   1   0% /usr/bin/carrier-monitor
20376     1 root     S      928   0%   2   0% /usr/bin/gl_fan -T /sys/devices/virtual/thermal/thermal_zone0/temp -D 1000 -t 75
 3215     1 root     S      920   0%   2   0% /usr/bin/breakpad/breakpad_reporter
  379     1 root     S      920   0%   1   0% /sbin/askfirst /usr/libexec/login.sh
   26     2 root     IW       0   0%   3   0% [kworker/3:0-eve]
